record_id|employer|occupation
4010320251125719122|HNTB CORPORATION|SR PROJECT DIRECTOR
4010320251125719366|ARKEMA INC.|BUSINESS MANAGER
4010320251125730162|BENETRENDS FINANCIAL|EXECUTIVE
4010320251125731615|COMCAST (CC) OF WILLOW GROVE|EXECUTIVE DIRECTOR, STRATEGY AND OPERA
4010320251125731764|COMCAST CORPORATION|SVP, ADMINISTRATION
4010320251125731827|COMCAST CORPORATION|VICE PRESIDENT AND CHIEF SECURITY OFFI
4010320251125731999|COMCAST CORPORATION|VP, CORPORATE COMMUNICATIONS
4010320251125732033|COMCAST CORPORATION|DATA SOLUTIONS PRINCIPAL
4010320251125732244|COMCAST CORPORATION|ASSOCIATE VICE PRESIDENT, CGA
4010320251125732255|COMCAST CORPORATION|VP, FINANCIAL PLANNING & ANALYSIS
4010320251125732815|COMCAST (CC) OF WILLOW GROVE|MANAGER 1, GOVERNMENT & REGULATORY AFF
4010320251125734206|PAR|CEO
4010320251125735394|N/A|RETIRED
4010320251125735739|N/A|RETIRED
4010320251125737402|N/A|RETIRED
4010320251125737748|SELF-EMPLOYED|PHYSICIAN
4010320251125739430|N/A|RETIRED
4010320251125740027|BOSCOV'S|RETAIL SECURITY
4010320251125740530|N/A|RETIRED
4010320251125740662|N/A|RETIRED
4010320251125744908|N/A|RETIRED
4010320251125745080|BOSCOV'S|RETAIL SECURITY
4010320251125746765|N/A|RETIRED
4010320251125748397|GSK|MEDICAL AFFAIRS
4010320251125748759|HNL LAB MEDICINE|MEDICAL TECHNOLOGISTS
4010320251125749957|N/A|RETIRED
4010320251125751027|N/A|RETIRED
4010320251125751045|N/A|RETIRED
4010320251125753644|N/A|RETIRED
4010320251125754044|N/A|RETIRED
4010320251125754184|N/A|RETIRED
4010320251125754330|ST ALBANS CHRISTIAN LEARNING CENTER|PRESCHOOL TEACHER
4010320251125763640|ABBVIE|PHYSICIAN
4010320251125764857|N/A|RETIRED
4010320251125764981|N/A|RETIRED
4010320251125765039|N/A|RETIRED
4010320251125767066|N/A|RETIRED
4010320251125767814|N/A|RETIRED
4010320251125768227|N/A|RETIRED
4010320251125768922|N/A|RETIRED
4010320251125769646|SELF-EMPLOYED|PHYSICIAN
4010320251125771785|N/A|RETIRED
4010320251125774439|ATAIROS GROUP|CHAIRMAN CEO
4010320251125774445|NORTHWESTERN MUTUAL|INSURANCE
4010320251125774451|RF FAGER COMPANY|OWNER
4010320251125774484|KRANICH'S INC.|RETAIL
4010320251125774547|WHOLE FOODS|RETAILER
4010320251125774555|ON TARGET ACQUISITION|MANAGING MEMBER
4010320251125878743|BRODIE GENERATIONAL CAPITAL PARTNERS|PRESIDENT
4010320251125891406||
4010320251125891445||
4010420251125923557|SELF-EMPLOYED|PILOT
4010420251125924121|RETIRED|RETIRED
4010420251125924598|SELF-EMPLOYED|REAL ESTATE
4010620251125965700|RETIRED|RETIRED
4010620251125965708|RETIRED|RETIRED
4010620251125967329|RETIRED|RETIRED
4010620251125969616|RETIRED|RETIRED
4010620251125970075|RETIRED|RETIRED
4010620251125970153|UNEMPLOYED|UNEMPLOYED
4010620251125970875|RETIRED|RETIRED
4010620251125975282|RETIRED|RETIRED
4010620251125977529|SELECT MEDICAL CORPORATION|EXECUTIVE
4010620251125977574|SELECT MEDICAL CORPORATION|SENIOR VICE PRESIDENT
4010620251125977595|SELECT MEDICAL CORPORATION|EXECUTIVE
4010620251125977680|SELECT MEDICAL CORPORATION|VICE PRESIDENT
4010620251125977733|SELECT MEDICAL CORPORATION|EXECUTIVE
4010620251125979123|VA|RETIREE
4010620251125979371|VAMC|INFORMATION TECHNOLOGY SPECIALIST
4010620251125996288|SP ENGINEERING INC.|ADMINISTRATOR
4010620251125997558|NOT EMPLOYED|NOT EMPLOYED
4010620251125997560|NOT EMPLOYED|NOT EMPLOYED
4010620251125998305|NOT EMPLOYED|NOT EMPLOYED
4010620251126000123|ACCENTURE|TECHNOLOGY/HEALTHCARE CONSULTANT
4010620251126000401|INSACO INC|PRESIDENT
4010620251126001093|SELF|EXECUTIVE
4010620251126003134|SELF|ATTORNEY
4010620251126003967|MONTEFIORE|HEALTHCARE
4010620251126004740|NOT EMPLOYED|NOT EMPLOYED
4010620251126004742|NOT EMPLOYED|NOT EMPLOYED
4010620251126008539|NOT EMPLOYED|NOT EMPLOYED
4010620251126013156|TIDEWATER WEALTH|INVESTMENTS
4010620251126017796||
4010620251126017818|NOT EMPLOYED|NOT EMPLOYED
4010620251126021477|NOT EMPLOYED|NOT EMPLOYED
4010620251126022065|WOON|CAREGIVER
4010620251126022746|NOT EMPLOYED|NOT EMPLOYED
4010620251126023322|NOT EMPLOYED|NOT EMPLOYED
4010620251126027965|RETIRED|INTERIM PASTOR
4010620251126028385|RETIRED|RETIRED
4010620251126028392|RETIRED|RETIRED
4010620251126028827|N/ A|RETIRED
4010620251126029823|NOT EMPLOYED|NOT EMPLOYED
4010620251126030675|NOT EMPLOYED|NOT EMPLOYED
4010620251126032750|NOT EMPLOYED|NOT EMPLOYED
4010620251126032877|TORRANCE STATE HOSPITAL|PHYSICIAN
4010620251126034342|EMAINT|VP
4010620251126035402|CTDI|ASSEMBLER
4010620251126039843|CITY OF PHILADELPHIA|ACCOUNTANT
4010620251126040678|NOT EMPLOYED|NOT EMPLOYED
4010620251126040784|NOT EMPLOYED|NOT EMPLOYED
4010620251126043937|DAIICHI -SANKYO INC|ASSOCIATE DIRECTOR PUBLICATIONS
4010620251126047331|NOT EMPLOYED|NOT EMPLOYED
4010620251126050653|NOT EMPLOYED|NOT EMPLOYED
4010620251126054278|MORAVIAN UNIVERSITY|PROFESSOR
4010620251126054321|NOT EMPLOYED|NOT EMPLOYED
4010620251126059562|SELF|WRITER
4010620251126059998|NOT EMPLOYED|NOT EMPLOYED
4010620251126060818|UNIVERSITY OF PITTSBURGH|PROFESSOR
4010620251126061809|NOT EMPLOYED|NOT EMPLOYED
4010620251126062090|HUNTER COLLEGE|COLLEGE PROFESSOR
4010620251126065134|NOT EMPLOYED|NOT EMPLOYED
4010620251126065398|IRS|QUALITY REVIEW
4010620251126065544|SELF|ENGINEER
4010620251126069376|NOT EMPLOYED|NOT EMPLOYED
4010620251126070812|TEMPLE UNIVERSITY|PROFESSOR
4010620251126070862|MATRIX MEDICAL|CRNP
4010620251126072099|NOT EMPLOYED|NOT EMPLOYED
4010620251126074861|NOT EMPLOYED|NOT EMPLOYED
4010620251126075354|NOT EMPLOYED|NOT EMPLOYED
4010620251126076410|NOT EMPLOYED|NOT EMPLOYED
4010620251126076682|DREXEL UNIVERSITY|PHYSICIAN
4010620251126077843|JERRY RIGGLEMAN|REALTOR
4010620251126080557|SELF|REG DIETITIAN
4010620251126081393|NOT EMPLOYED|NOT EMPLOYED
4010620251126083414|SELF|CARPENTER
4010620251126084145|NOT EMPLOYED|NOT EMPLOYED
4010620251126084642|NOT EMPLOYED|NOT EMPLOYED
4010620251126085885|NOT EMPLOYED|NOT EMPLOYED
4010620251126087636|NOT EMPLOYED|NOT EMPLOYED
4010620251126089411|NOT EMPLOYED|NOT EMPLOYED
4010620251126090025|NOT EMPLOYED|NOT EMPLOYED
4010620251126091783|NOT EMPLOYED|NOT EMPLOYED
4010620251126093622|NOT EMPLOYED|NOT EMPLOYED
4010620251126095519|NOT EMPLOYED|NOT EMPLOYED
4010620251126096701|NOT EMPLOYED|NOT EMPLOYED
4010620251126097034|YORK COLLEGE OF PA|INSTRUCTOR
4010620251126097039|RETIRED|RETIRED
4010620251126097492|LLR WALNUT|FINANCE
4010620251126099578|NOT EMPLOYED|NOT EMPLOYED
4010620251126100507|NOT EMPLOYED|NOT EMPLOYED
4010620251126101391|DEPARTMENT OF ENERGY|PHYSICAL SCIENTIST
